"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 07 19:07:24 MSK 2024","Sun Jul 07 19:07:25 MSK 2024","1085","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 3",""
"passed","Sun Jul 07 19:07:10 MSK 2024","Sun Jul 07 19:07:12 MSK 2024","1218","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 2",""
"passed","Sun Jul 07 19:07:51 MSK 2024","Sun Jul 07 19:07:52 MSK 2024","1068","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 5",""
"passed","Sun Jul 07 19:08:31 MSK 2024","Sun Jul 07 19:08:33 MSK 2024","1105","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 8",""
"passed","Sun Jul 07 19:06:27 MSK 2024","Sun Jul 07 19:06:29 MSK 2024","2296","test","test_go_to_dzen_home_screen","TestGoToYandexHomeScreen","","","Test navigating to Yandex home screen from order screen",""
"passed","Sun Jul 07 19:08:18 MSK 2024","Sun Jul 07 19:08:19 MSK 2024","1071","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 7",""
"passed","Sun Jul 07 19:06:43 MSK 2024","Sun Jul 07 19:06:44 MSK 2024","1405","test","test_go_yandex_scooter_home_screen","TestGoToYandexHomeScreen","","","Test Navigation to Yandex Home Screen from Order Screen",""
"passed","Sun Jul 07 19:09:02 MSK 2024","Sun Jul 07 19:09:07 MSK 2024","5219","test","test_scooter_order_from_the_end","TestOrderScooterFromTheEndOfHomeScreen","","","Test order scooter from the end of home screen",""
"passed","Sun Jul 07 19:07:37 MSK 2024","Sun Jul 07 19:07:39 MSK 2024","1188","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 4",""
"passed","Sun Jul 07 19:06:57 MSK 2024","Sun Jul 07 19:06:58 MSK 2024","1349","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 1",""
"passed","Sun Jul 07 19:08:04 MSK 2024","Sun Jul 07 19:08:06 MSK 2024","1145","test","test_scooter_important_questions_section","TestScooterImportantQuestionSection","","","Test important question 6",""
"passed","Sun Jul 07 19:08:45 MSK 2024","Sun Jul 07 19:08:50 MSK 2024","4884","test","test_scooter_order_from_header","TestOrderScooterFromTheTopOfHomeScreen","","","Test order scooter from the top of home screen",""
